"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.4079971313477","","","","","","","","86.7305297851562","86.2593307495117","86.7836685180664","86.6328125","89.448371887207","83.8038482666016","86.6324462890625","104.693260192871","96.7060928344727","","","","","","91.3063430786133","92.6582412719727","95.5665893554688","93.963981628418","93.4246597290039","105.821632385254","103.58984375","",
"American Samoa","ASM","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.258827209473","","","","","","","","","","","","","","","","91.8918914794922","84.6524429321289","95.0298233032227","","108.350311279297","99.3430023193359","101.581329345703","96.0890121459961","120.161003112793","117.170951843262","107.770011901855","113.439002990723","","","","",
"Australia","AUS","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.330909729004","102.23592376709","","","102.526161193848","102.778312683105","102.995651245117","102.461769104004","100.864440917969","101.984298706055","100.157722473145","100.014297485352","98.4088973999023","99.8129730224609","95.8072280883789","98.5184936523438","96.5089797973633","97.7947692871094","96.1188125610352","99.6848831176758","96.2193069458008","",
"Azerbaijan","AZE","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2466812133789","73.9950714111328","88.5560684204102","85.510009765625","83.6433715820312","82.8402633666992","88.8690719604492","89.5993194580078","88.0786819458008","90.7474670410156","90.5791091918945","89.3144378662109","94.1759796142578","86.7486190795898","86.619140625","86.07421875","89.0382919311523","88.4545364379883","84.7130966186523","","84.2437973022461","87.6069412231445","85.1751022338867","",
"Burundi","BDI","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","0.949729979038239","0.838909983634949","","","","","1.16881000995636","1.24772000312805","1.16041994094849","1.10069000720978","1.36299002170563","1.74052000045776","1.37138998508453","1.20374000072479","1.17943000793457","1.2399400472641","1.9988100528717","2.15173006057739","2.37226009368896","2.7245500087738","","4.50277996063232","4.72189998626709","","","","","","","","","","","8.07604026794434","8.54069042205811","9.5177001953125","","12.6922597885132","17.2778797149658","16.7868804931641","23.1399803161621","20.7082996368408","24.1854496002197","28.2209205627441","35.6598587036133","42.104850769043","39.9210891723633","31.6651706695557","28.1889095306396","28.9011993408203","","34.7159996032715","",
"Belgium","BEL","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","40.1848793029785","43.8830909729004","45.9857788085938","50.1364898681641","","","","","","","","","","","","","","","","105.103500366211","105.257263183594","","","","","","","","","","","","88.5607376098633","88.5818099975586","88.2635726928711","87.8436431884766","90.8887786865234","91.6787719726562","92.2262802124023","93.4911193847656","92.4155502319336","95.1040802001953","95.7408828735352","94.7451934814453","92.8813629150391","92.5195999145508","93.4663391113281","93.7259368896484","","",
"Benin","BEN","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","3.63269996643066","4.11129999160767","4.72319984436035","5.10388994216919","5.95293998718262","7.89152002334595","8.10367965698242","7.89977979660034","8.70689010620117","8.58835029602051","11.5771503448486","","16.7876892089844","15.3202695846558","14.8316802978516","12.8647899627686","8.9263801574707","","","6.25989007949829","","","","","","","","","","14.5254001617432","15.7961502075195","17.259859085083","","","","24.6008396148682","","","","","35.9245796203613","","45.3319816589355","42.1712799072266","44.0513687133789","44.9652786254883","","","","31.6446895599365","35.3761711120605","29.0702991485596","",
"Burkina Faso","BFA","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","1.2080899477005","1.18304002285004","1.23905003070831","1.30910003185272","1.30757999420166","1.4423600435257","1.45245003700256","","1.51954996585846","2.07503008842468","1.91040003299713","2.0731999874115","2.34099006652832","2.30029010772705","","3.29610991477966","","4.18184995651245","4.90369987487793","5.08182001113892","5.12506008148193","5.68746995925903","5.66369009017944","5.85742998123169","","","","","","6.29351997375488","7.03871011734009","","7.5601601600647","","9.29605007171631","10.3322896957397","11.1299495697021","14.0830497741699","15.0231304168701","16.0267906188965","17.6357707977295","19.6218605041504","20.9733791351318","24.2690391540527","26.535249710083","29.5892505645752","36.3830108642578","42.2713317871094","40.4123687744141","40.384578704834","37.5703201293945","30.7037601470947","",
"Bangladesh","BGD","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.6585502624512","51.3809204101562","53.9975090026855","58.7023811340332","60.0205383300781","59.5551910400391","55.1960906982422","53.8870582580566","54.0382690429688","55.0962905883789","","57.0029296875","55.4570007324219","58.3470001220703","","66.5989990234375","","","73.9000015258789","74.260986328125","80.7084197998047","","","81.4779968261719","82.943000793457","",
"Bulgaria","BGR","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","85.8606491088867","84.5660018920898","85.252067565918","86.2940673828125","85.441291809082","87.8402709960938","88.4398727416992","92.0797576904297","81.5738220214844","83.5814437866211","81.7757797241211","83.2876129150391","85.0576095581055","86.585823059082","87.4419174194336","88.5215911865234","90.8461837768555","91.9549865722656","97.5576171875","88.9325180053711","84.4053115844727","82.968391418457","77.2914199829102","76.2330169677734","73.4281463623047","92.4471206665039","91.0990676879883","","84.5835876464844","","91.0537185668945","91.8335189819336","91.7146301269531","96.1035690307617","93.4208297729492","94.887321472168","95.4830017089844","95.6025314331055","97.3284301757812","95.8862686157227","97.6078720092773","97.7238464355469","94.6490020751953","94.1902236938477","94.2543182373047","93.2254333496094","92.3919296264648","91.8949432373047","91.5218276977539","91.4154510498047","91.0966567993164","","",
"Bahrain","BHR","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","54.9599304199219","45.3572616577148","49.4016609191895","46.9888305664062","49.7807884216309","41.2126312255859","50.6119613647461","53.8194007873535","61.0948600769043","47.5521583557129","57.0068588256836","62.7674217224121","68.4929733276367","71.3906631469727","","69.3723220825195","","77.0019836425781","","","86.1150436401367","85.0095062255859","82.9435424804688","","","","","","77.2650909423828","79.8023529052734","80.7515182495117","85.5234375","84.8239517211914","83.4057922363281","81.2080993652344","84.5176620483398","","89.026481628418","88.6312789916992","88.2098693847656","90.6092376708984","93.5077514648438","100.211700439453","99.4403381347656","96.7952499389648","98.0651931762695","98.3193817138672","97.9292678833008","97.1238327026367","","","99.2143096923828","",
"Bahamas, The","BHS","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.5869674682617","","","","","86.112419128418","84.1012420654297","78.3768310546875","86.8005676269531","92.9069595336914","","88.938850402832","","","","","","","","","","","","","",
